486
178
(30.000002, -23.731201, 10.000000) (0.300000, 0.462688, 0.100000) (0.000000, 0.000000)
(40.000000, -33.605400, 30.000002) (0.400000, 0.363946, 0.300000) (0.000000, 0.000000)
(40.000000, -37.553101, 20.000000) (0.400000, 0.324469, 0.200000) (0.000000, 0.000000)
(30.000002, -31.616199, 20.000000) (0.300000, 0.383838, 0.200000) (0.000000, 0.000000)
(30.000002, -37.501499, 30.000002) (0.300000, 0.324985, 0.300000) (0.000000, 0.000000)
(40.000000, -33.605400, 30.000002) (0.400000, 0.363946, 0.300000) (0.000000, 0.000000)
(30.000002, -31.616199, 20.000000) (0.300000, 0.383838, 0.200000) (0.000000, 0.000000)
(40.000000, -59.404198, 40.000000) (0.400000, 0.105958, 0.400000) (0.000000, 0.000000)
(40.000000, -33.605400, 30.000002) (0.400000, 0.363946, 0.300000) (0.000000, 0.000000)
(30.000002, -37.501499, 30.000002) (0.300000, 0.324985, 0.300000) (0.000000, 0.000000)
(30.000002, -16.351303, 40.000000) (0.300000, 0.536487, 0.400000) (0.000000, 0.000000)
(40.000000, -59.404198, 40.000000) (0.400000, 0.105958, 0.400000) (0.000000, 0.000000)
(30.000002, -37.501499, 30.000002) (0.300000, 0.324985, 0.300000) (0.000000, 0.000000)
(40.000000, -42.716999, 50.000000) (0.400000, 0.272830, 0.500000) (0.000000, 0.000000)
(40.000000, -59.404198, 40.000000) (0.400000, 0.105958, 0.400000) (0.000000, 0.000000)
(30.000002, -16.351303, 40.000000) (0.300000, 0.536487, 0.400000) (0.000000, 0.000000)
(30.000002, -42.850998, 50.000000) (0.300000, 0.271490, 0.500000) (0.000000, 0.000000)
(40.000000, -42.716999, 50.000000) (0.400000, 0.272830, 0.500000) (0.000000, 0.000000)
(30.000002, -16.351303, 40.000000) (0.300000, 0.536487, 0.400000) (0.000000, 0.000000)
(40.000000, -48.571400, 60.000004) (0.400000, 0.214286, 0.600000) (0.000000, 0.000000)
(40.000000, -42.716999, 50.000000) (0.400000, 0.272830, 0.500000) (0.000000, 0.000000)
(30.000002, -42.850998, 50.000000) (0.300000, 0.271490, 0.500000) (0.000000, 0.000000)
(30.000002, -48.571400, 60.000004) (0.300000, 0.214286, 0.600000) (0.000000, 0.000000)
(40.000000, -48.571400, 60.000004) (0.400000, 0.214286, 0.600000) (0.000000, 0.000000)
(30.000002, -42.850998, 50.000000) (0.300000, 0.271490, 0.500000) (0.000000, 0.000000)
